question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,
S013,餐飲業,減排效果的監控方法是什麼？,排放源辨識與確認,single,intermediate,減排績效與成效追蹤,探討企業是否具備追蹤減碳成效的監測機制,監控減排效果有助於確保碳管理的成效，企業可設立 KPI（關鍵績效指標） 或使用外部審核來提升數據可靠性。例如，可追蹤 電費帳單變化、能源消耗趨勢、食材浪費量，確保減排行動確實落實。,沒有監控,無法確保減排措施的成效，可能影響 ESG 目標達成。,內部簡單追蹤,例如通過人工記錄電費與食材浪費，但未做深入分析。,依部門設定減排 KPI,每個部門（廚房、物流）有明確減排目標，例如降低用電 10%。,使用專業監測設備與外部審核,例如導入智能電錶、食材監測系統，並由外部機構驗證數據。,不知道/不確定,可從現有的營運數據（電費、瓦斯用量）開始追蹤變化。,是否有紀錄減排成果？是否定期追蹤成效或調整作法？,TRUE,TRUE,請說明如何確認減排措施是否有效，是否有統計或分析方式,成效監控與評估方法,認識減排行動成果需以數據佐證與持續追蹤為原則,"成效追蹤, 數據評估, 碳盤查改善",
S014,餐飲業,持續改進的檢討機制如何？,排放源辨識與確認,single,intermediate,減碳管理與持續改善,評估企業是否具備減碳策略的持續優化能力,碳管理應定期檢討並調整策略，例如 每年進行碳盤查，或根據營運狀況調整能源使用方式。例如，若發現夏季冷氣用電過高，可透過改善隔熱、調整溫控設備 來減少能耗，確保減排行動能有效持續。,沒有,目前無任何定期檢討與改善計畫，減排行動較零散。,每年盤查一次,例如透過年度能源帳單與食材管理報表分析碳排變化。,定期檢討並調整策略,例如每季度審視能源消耗與物流排放，進行優化調整。,建立內部改善機制與數據分析,透過 AI 或智能系統監測排放趨勢，並做出即時優化。,不知道/不確定,可先從歷史數據開始比較，建立基本的改善機制,是否定期檢討減排策略？是否參考外部建議或產業趨勢？,TRUE,TRUE,請說明公司內部是否有針對永續策略進行檢討與優化，如何調整方向,持續改進與學習機制,建立 ESG 持續改善與回饋循環的概念,"ESG改善, 檢討機制, 策略優化",
D001,餐飲業,數據收集的頻率和來源是什麼？,數據收集方式與能力,single,beginner,數據收集策略與頻率盤點,建立企業數據收集週期與初步流程之認知,碳排放數據應定期記錄，以確保數據完整性和可追溯性。例如，每月記錄電力使用量可幫助企業即時發現異常，而年度記錄可能會導致細節遺漏，影響減排行動的效果。餐飲業應根據營運需求選擇適當的頻率，例如 每日記錄食材進貨量、每月統計能源消耗、每季分析廢棄物數據，確保盤查準確性。,沒有固定頻率,可能導致碳排放數據不完整，影響未來 ESG 報告準確性。,每月記錄一次,適用於能源使用數據，如電費帳單、燃氣用量。,每季記錄一次,適用於廢棄物、供應鏈排放數據，確保長期趨勢分析。,每年記錄一次,適用於供應鏈碳足跡，企業可透過年度審查確保數據完整。,不知道/不確定,可從營運數據、帳單與供應商報告開始盤查，建立標準流程。,是否每月或每季蒐集數據？來源是帳單、設備紀錄還是人工抄表？,TRUE,TRUE,請說明目前碳盤查資料的來源與更新頻率,資料來源與盤查頻率,理解不同資料來源對碳盤查精確度的影響與更新周期要求,"數據頻率, 資料類型, 資料品質",
D002,餐飲業,公司有無定期保存電力使用紀錄？,數據收集方式與能力,single,beginner,範疇二能源數據紀錄,檢視企業電力使用是否有形成穩定記錄習慣,電力使用是餐飲業碳排放的主要來源之一，影響範疇二排放。若無定期記錄電費帳單，將難以追蹤用電趨勢及碳排放。建議每月或每季統整數據，並以電子表單或雲端管理，提高可追溯性，幫助制定節能計畫與減少不必要的能耗。,沒有,缺乏完整數據，可能無法評估能源使用效率。,只有部分部門有記錄,可能僅限廚房或辦公室用電數據，未包含整體運營。,全公司皆有記錄,能有效監控碳排放，適合大型餐飲企業與連鎖品牌。,電力數據已電子化管理,透過雲端或智能電表自動記錄，提高管理效率與準確性。,不知道/不確定,可從電費帳單開始追蹤，並建立定期記錄機制。,是否有保存每月電費帳單？是否使用智慧電表或系統自動記錄？,TRUE,TRUE,請描述電力使用紀錄的保存方式與是否可回溯查詢,電力數據保存與可得性,建立電力相關碳排數據的可得性與紀錄機制意識,"電力記錄, 帳單保存, 資料回溯",
D003,餐飲業,是否保存燃料使用紀錄？,數據收集方式與能力,single,beginner,範疇一燃料數據紀錄,掌握企業是否保存與使用直接燃料之記錄資料,燃料使用屬於範疇一碳排放，如瓦斯爐、發電機、鍋爐等設備的能源消耗。若未建立標準記錄方式，將影響碳盤查準確度。企業應確保燃料發票、加油紀錄等文件的保存，以利日後盤查與管理。例如，可透過 智能燃氣表 或 自動記錄系統 來提升數據準確性。,沒有,燃料消耗無紀錄，可能影響碳盤查數據的完整性。,只保存部分數據,可能僅記錄特定設備的燃氣使用，但缺乏完整性。,由財務部保存,主要用於會計與成本計算，但未用於碳管理分析。,由環保或能源管理單位保存,企業已建立監測機制，可確保排放數據的透明度。,不知道/不確定,可從燃氣發票、燃油購買記錄開始，逐步建立完整數據庫。,是否記錄瓦斯或柴油等燃料購買量？是否由單據或系統登錄？,TRUE,TRUE,請說明燃料類（如瓦斯）之購買與使用記錄方式，是否可提供查核,燃料數據與排放依據,建立燃料消耗紀錄與碳排放計算基礎間的連結,"燃料紀錄, 瓦斯用量, 範疇一資料",
D004,餐飲業,是否保存物流運輸紀錄？,數據收集方式與能力,single,beginner,範疇三物流數據記錄,理解企業是否具備追蹤物流碳排的基礎能力,餐飲業的外送、食材運輸、中央廚房配送 產生範疇三碳排放，應記錄物流距離、油耗、運輸頻率等數據。若依賴外包物流，應與供應商協商提供碳排放報告，並建立記錄機制，以確保物流減排計劃可行。例如，可透過 GPS 追蹤系統 或 供應商排放報告 來確保數據準確性。,沒有,缺乏完整數據，無法量化運輸碳排放。,物流供應商保留部分數據,需確保供應商提供標準化報告，以利盤查。,內部有簡單記錄,可能僅紀錄運輸成本，未追蹤碳排放影響。,建立完整數據追蹤系統,企業有完整物流碳足跡記錄，適合 ESG 盤查與報告。,不知道/不確定,可從物流單據、運輸距離紀錄開始追蹤數據。,是否記錄配送距離、次數或運輸方式？是否為自有或委外？,TRUE,TRUE,若有配送紀錄，請說明保存方式（表單、平台、自動化工具）等,運輸紀錄與範疇三依據,建立物流數據記錄與外包碳排識別的能力,"物流紀錄, 範疇三, 配送距離",
D005,餐飲業,是否有原料採購的完整記錄？,數據收集方式與能力,single,beginner,採購紀錄與供應鏈追蹤,了解企業是否已建立原料來源與供應鏈碳資料管理,食材供應鏈佔餐飲業碳排放大宗，影響範疇三碳足跡。記錄原料採購數據可評估供應商碳排放，並優化低碳食材選擇。例如，優先採購本地有機食材、減少長距離運輸原料，能有效降低環境影響。企業可透過 ERP 系統 或 供應商報告 來管理採購數據，確保符合 ESG 目標。,沒有,可能無法確保供應鏈碳排放的透明度。,只記錄主要供應商,可能僅追蹤部分食材來源，未涵蓋整體供應鏈。,由採購部門管理,可確保食材數據完整性，但需額外評估碳足跡。,已建立數據系統,可自動化追蹤供應鏈排放，適合 ESG 盤查與報告。,不知道/不確定,可從進貨單據、供應商報告開始，逐步建立完整數據庫。,是否記錄每批採購的食材品項、數量與來源？是否有對應發票或採購單？,TRUE,TRUE,請說明是否保存原物料採購資訊，是否易於分類與盤點,食材採購數據紀錄,建立採購記錄對供應鏈碳盤查的基礎作用認知,"採購紀錄, 食材分類, 範疇三",
D006,餐飲業,公司是否有廢棄物處理的相關數據？,數據收集方式與能力,single,intermediate,廢棄物數據管理與分類紀錄,評估企業是否有對廢棄物進行分類與數據追蹤,餐飲業的廢棄物（如廚餘、油脂、包裝廢棄物）影響碳排放。 若無完整記錄，將難以追蹤減排成效。企業應建立分類記錄，如 可回收、堆肥、焚化或掩埋的廢棄物比例，以利未來優化食材利用與減少浪費。例如，某些企業透過 廚餘轉化為生質能，有效降低碳排放與廢棄物處理成本。,沒有,餐廳未記錄廢棄物處理數據，可能影響環保與合規管理。,只記錄總量,例如每月統計垃圾重量，但未區分可回收與一般廢棄物。,依廢棄物類型記錄,已詳細分類餐廳產生的垃圾，如廚餘、塑膠、金屬、玻璃等。,已建立完整追蹤系統,企業使用數位系統記錄廢棄物處理情況，並定期分析減廢效果。,不知道/不確定,可從垃圾處理費用、回收單據開始建立數據，確保未來減廢計劃的可行性。,是否有廚餘或垃圾的稱重紀錄？是否交由第三方清運？是否可查詢數據？,TRUE,TRUE,請說明是否有廢棄物處理數據，來源是自計還是外部單位提供,廢棄物處理資料保存,認識廢棄物數據保存與對碳排報告的完整性關聯,"廚餘紀錄, 廢棄物處理, 外包紀錄",
D007,餐飲業,餐廳數據記錄的標準模板是什麼？,數據收集方式與能力,single,intermediate,碳排資料格式一致性,檢視企業是否已導入統一的數據記錄格式或表單,標準化數據記錄有助於提升管理效率與碳盤查精確性。 小型餐廳可使用 Excel 或 Google Sheets 記錄食材進貨、能源使用與廢棄物數據，而連鎖餐廳可導入 ERP 系統或 POS 整合數據。參考 ISO 14064 可確保數據透明度，並讓數據可與法規對應，避免未來營運風險。,沒有固定格式,可能導致數據缺漏，影響碳盤查與 ESG 報告的完整性。,簡單 Excel 記錄,以手動方式輸入數據，適用於小型企業，但易出現錯誤。,ERP 系統管理,使用數據自動化系統，提高碳盤查效率與精確性。,參考 ISO 標準,確保數據符合國際標準，如 ISO 14064，可用於未來外部審查。,不知道/不確定,可先從基本記錄開始，逐步導入標準化數據管理流程,是否自製紀錄格式？是否使用平台提供的數據登錄表？是否統一格式？,TRUE,TRUE,若有資料登錄系統或統一格式，請簡述目前使用情況,數據記錄格式與一致性管理,建立紀錄標準化與未來資料整合的基礎思維,"數據表格, 格式統一, 標準化記錄",
D008,餐飲業,餐廳如何確保數據品質？,數據收集方式與能力,single,intermediate,數據品質管理與驗證,理解企業如何建立內部控管或外部稽核機制,數據品質決定碳盤查的準確性，例如食材浪費量、瓦斯與電力消耗的數據應有標準收集方式。小型餐廳可每月比對能源帳單與進貨數據，大型餐廳可導入智慧感測器或 IoT 監測設備，確保能耗與排放數據準確，提升 ESG 管理成效。,無特定控制措施,可能導致數據錯誤或不一致，影響碳排放計算的準確性。,定期內部審核,透過內部稽核，每季比對數據，確保數據準確性與完整性。,由第三方驗證,可透過 ISO 14064 或 GHG Protocol 查證，提高可信度。,使用自動監測系統,例如 IoT 感測器、智慧電表，能即時記錄能耗與排放數據。,不知道/不確定,可從現有的能源帳單、供應商數據等開始盤查。,是否有交叉檢查、主管複核或自動校驗？是否定期比對資料是否異常？,TRUE,TRUE,請描述餐廳在記錄能源、採購等數據時，是否有任何品質控管機制,數據品質與驗證方法,建立數據正確性與一致性對碳盤查結果可靠度的影響認知,"數據品質, 檢核流程, 異常排查",
D009,餐飲業,餐廳內部審計的頻率與流程如何？,數據收集方式與能力,single,intermediate,數據審查與改進制度,判斷企業是否具備定期稽核碳排資料的制度化流程,內部審計有助於掌控碳排放趨勢，確保減排行動有效。建議每季審視能源與食材浪費數據，追蹤節能與減廢成果。連鎖餐廳可設置 ESG 監督機制，定期由總部檢視各分店數據，確保各店面的環保政策一致並落實改善方案。,沒有,可能導致數據錯誤或缺漏，影響 ESG 目標達成。,每年一次,可確保碳盤查數據符合 ESG 法規，但無法即時調整策略。,每半年一次,可定期檢討營運碳排放趨勢，提高改善空間。,持續監控,使用 AI 或 IoT 設備進行即時數據監測，確保準確性。,不知道/不確定,可從過去的碳排放報告與能源記錄開始檢討。,是否定期審查記錄的正確性？審計週期與內容是否有標準流程？,TRUE,TRUE,請說明是否有內部盤查或ESG資料審核的流程與執行頻率,內部審核與監督制度,建立餐廳在碳盤查管理流程中的自我檢討與控制機制概念,"內部審計, ESG監管, 資料一致性",
D010,餐飲業,餐廳使用哪些技術工具管理數據？,數據收集方式與能力,single,beginner,碳數據技術工具應用,探討企業是否採用適當工具進行數據整合與管理,技術工具可簡化碳數據管理，小型餐廳可透過 Excel 記錄進貨與能源數據，連鎖餐廳可使用 ERP 整合採購與能耗數據。AI 工具則可預測碳排放趨勢，並建議最佳減排策略，幫助餐廳優化營運效率並降低環境影響。,Excel,適用於小型餐廳，但手動輸入容易出錯。,ERP 系統,適用於連鎖餐廳，可整合食材採購與能耗數據。,自動數據管理平台,透過 IoT 監測能耗與廚餘量，提高數據準確度。,AI 智能分析工具,預測碳排放趨勢，並提供最佳減排策略建議。,不知道/不確定,可先從 Excel 或 Google Sheets 開始建立基本數據管理方式。,是否使用 Excel、專用平台、POS系統或IoT工具記錄數據？,TRUE,TRUE,請列舉目前使用的資料紀錄工具或系統，是否有集中化管理功能,數據記錄工具與數位能力,理解科技工具對碳排資料管理效率與自動化程度的影響,"數位工具, POS, 數據平台, ESG系統",
D011,餐飲業,餐廳是否使用電子化方式記錄碳排數據？,數據收集方式與能力,single,beginner,電子化數據管理現況,評估企業是否已導入碳排數據的電子化流程與工具,電子化記錄能提升碳盤查效率，減少人工誤差。小型餐廳可使用 Google Sheets，較大型餐廳可導入 POS 系統與 IoT 監測設備，自動記錄 食材庫存、能源消耗與廢棄物數據，提升數據透明度並確保可追溯性。,沒有,仍以紙本或人工方式記錄，數據易遺失或錯誤。,部分電子化,例如僅將電費帳單數位化，但未整合所有數據。,完全電子化管理,使用 ERP 或 AI 工具，自動記錄與分析碳數據。,不知道/不確定,可從能源帳單與食材進貨記錄開始，建立數位數據庫。,,,是否透過平台、自動化或表單管理碳排數據？是否以電子方式儲存與傳輸？,TRUE,TRUE,請描述碳排放或能源使用的資料是否有導入電子化管理方式,資料電子化與數位轉型,強化對電子化管理與碳盤查效率提升之間關聯的理解,"數據電子化, 自動化, 效率提升",
D012,餐飲業,餐廳是否有固定的紀錄頻率與負責人員？,數據收集方式與能力,single,intermediate,責任制度與紀錄頻率,確認企業是否有制度化指定人員並執行定期紀錄,定期記錄碳排數據並指派負責人可確保數據準確性。餐飲業的 用電、瓦斯、食材採購與廚餘數據 需由專人負責收集，以避免營運變動影響記錄完整度。建議 每週或每月記錄一次，較大型或連鎖餐廳可成立 專責 ESG 小組管理，確保長期監測與優化營運碳足跡。,沒有,可能導致數據缺漏，影響 ESG 目標達成。,由部門自行決定,不同部門可能採用不同的記錄方式，數據一致性低。,已指定專責團隊,由 ESG 小組負責碳排放監測，確保數據一致性。,不知道/不確定,可先從財務與營運數據開始，確認數據記錄方式。,,,是否有指定部門/人員負責記錄？紀錄頻率為每日、每週、每月？,TRUE,TRUE,請說明目前是否有明確紀錄責任人與定期更新的制度,責任歸屬與紀錄頻率制度化,強化永續推動角色與紀錄制度對資料品質與完整性的基礎作用,"負責人, 更新頻率, 內部制度",
D013,餐飲業,餐廳數據管理的最佳實踐是什麼？,數據收集方式與能力,single,intermediate,碳數據管理與風險控管,探討企業是否具備碳數據備份、錯誤追蹤等管理機制,良好的數據管理可提升碳盤查精準度。餐廳應 定期備份能源、食材進貨與廢棄物數據，並建立 內部審核機制，確保數據完整性與可追溯性。較大型餐廳可參考 ISO 14064 或 GRI 永續報告標準，確保符合國際規範並降低未來營運風險。,無特定措施,可能導致數據錯誤或缺失，影響 ESG 目標。,定期備份,每月或每季進行數據備份，以確保歷史數據可追溯。,內部數據稽核,透過內部審核確保數據準確性，提高 ESG 報告可信度。,參考國際標準,確保數據管理符合 ISO 14064、GRI 或 GHG Protocol。,不知道/不確定,可先建立基本數據備份機制，逐步導入標準化流程。,是否參考過政府指南、平台建議或產業標竿？是否制定內部資料管理規則？,TRUE,TRUE,請分享你認為數據管理最重要的原則是什麼，是否已實施,資料管理策略與最佳實務,建立數據治理應納入策略設計與標準實施的概念,"最佳實務, 資料管理原則, ESG策略",
D014,餐飲業,餐廳的系統備份與安全性措施如何？,數據收集方式與能力,single,beginner,碳資料備份與安全性管理,了解企業是否已建立碳排資料的備份與安全制度,數據安全與備份確保營運穩定性。餐廳應定期備份數據，以防止意外刪除或設備損壞造成數據遺失。小型餐廳可使用 雲端儲存（如 Google Drive），較大型餐廳應考慮 異地備份，甚至設立災難復原計劃（DRP），確保碳排數據與營運紀錄的安全性，避免 ESG 報告數據遺失。,無備份措施,可能導致數據遺失，影響 ESG 盤查與未來審核。,定期備份,每月或每季備份數據，以確保歷史數據完整性。,設有災難復原計劃,企業建立異地備份，確保資料即使發生故障也可恢復。,不知道/不確定,可從現有的數據存儲方式開始檢視，確認是否需要優化備份機制。,,,是否有定期備份？使用雲端或本地系統？是否設有權限分級與存取控制？,TRUE,TRUE,請說明目前數據保存、備份與保護的方式，是否有設立安全機制,資安與備份措施,瞭解碳排資料需具備長期保存與系統安全的基本要求,"資料備份, 存取權限, 資安防護",
D015,餐飲業,餐廳是否有書面的碳排資料收集SOP？,數據收集方式與能力,single,intermediate,碳數據收集制度化,檢視企業是否已具備標準化的資料收集流程,標準作業程序（SOP）可確保碳盤查流程一致，避免數據錯誤與遺漏。完整 SOP 應涵蓋 碳數據來源、記錄方式、責任人員及審核流程，確保數據精確並符合 ISO 14064 標準。小型餐廳可從 能源與食材記錄 開始建立 SOP，大型餐廳則應確保所有分店均有統一的數據管理流程，以利 ESG 目標落實。,沒有,可能導致數據缺漏，影響碳盤查的完整性與合規性。,只有部分流程記錄,例如能源記錄有 SOP，但食材或廢棄物數據未涵蓋。,已建立完整 SOP,記錄方式、數據追蹤與內部稽核機制均已確立。,不知道/不確定,可先從簡單的能源記錄 SOP 開始，逐步擴展至其他範疇。,,,是否已文件化資料收集與彙整流程？是否有固定格式與負責人員？,TRUE,TRUE,若有相關 SOP，請簡述其內容與用途；若無，可描述目前如何執行,碳盤查作業流程與文件化程度,建立書面標準流程對一致性與可交接性的重要性,"碳盤查SOP, 文件化, 資料一致性",
D016,餐飲業,餐廳是否有定期審核碳排放數據的程序？,數據收集方式與能力,single,intermediate,數據審查與內部稽核,評估企業是否建立碳排放數據的定期審查與比對機制,定期審核數據可確保減排行動的有效性。建議餐廳每年或每半年對碳排數據進行審核，例如比對能源帳單、進貨數據與廢棄物產出量，以確認減排措施是否達標。連鎖餐廳可導入 內部 ESG 監管機制，確保各分店符合減碳政策並提升 ESG 透明度，以符合 ISO 14064、GRI 永續報告準則 等國際標準。,沒有,缺乏定期審查，可能影響 ESG 目標執行成效。,每年審核一次,適用於初步建立 ESG 盤查機制的企業。,每半年審核一次,定期檢討減排計劃，確保數據一致性與完整性。,持續監控與內部稽核,透過 AI 或智能監測系統，自動追蹤與分析碳排數據。,不知道/不確定,可先從歷史數據開始整理，建立內部審核制度。,是否每季或每年定期審核碳盤查數據？是否有審核紀錄與回饋？,TRUE,TRUE,請描述過去是否曾針對碳排數據做內部或外部稽核,數據審核與改善機制,瞭解碳盤查資料的稽核與回饋制度如何促進資料正確性與系統改善,"數據審核, 稽核頻率, ESG監管",
M001,餐飲業,餐廳的碳盤查報告格式應包含哪些內容？,內部管理與SOP現況,single,beginner,報告格式與參考標準,確認企業是否依據標準規範設計碳盤查報告格式,碳盤查報告應清楚說明碳排放範圍、計算方法及數據來源。常見格式包括 ISO 14064 標準 和 GRI 框架。若無標準格式，應參考政府或產業標準，以確保可信度與可比較性。例如，連鎖餐飲業可根據 範疇 1（店內設備油耗）、範疇 2（購電）、範疇 3（供應鏈運輸） 整理數據來源，並計算總碳排放量。,沒有特定格式,可能影響數據可信度與報告的一致性。,參考政府或產業標準,可提高報告的可比較性，如 GRI 或國內碳盤查指引。,依據 ISO 14064 準則,確保數據符合國際標準，提高企業可信度。,依據外部顧問建議,企業可聘請專業顧問協助設計報告格式。,不知道/不確定,可從競爭對手或政府提供的 ESG 報告範例開始參考。,是否瞭解報告需包含盤查邊界、方法、數據、排放結果與建議？,TRUE,TRUE,若已撰寫過報告，可描述其內容架構；若未撰寫，也可說明理想中會有什麼內容,報告內容結構與產出規範,建立完整 ESG 報告格式與重點欄位認識，提升報告撰寫能力,"報告格式, 邊界與方法, 建議內容",
M002,餐飲業,餐廳是否有第三方驗證的計畫？,內部管理與SOP現況,single,intermediate,碳盤查報告驗證與信度,了解企業對報告真實性與可信度的審查計畫,第三方驗證可提升碳盤查報告的可信度，確保數據準確性與合規性。例如，ISO 14064 要求企業透過外部審核機構驗證碳排放數據，以確保其真實性與透明度。若企業計畫參與 ESG 評比或供應鏈碳管理，可導入 獨立驗證機構（如 SGS、TÜV、DNV），確保報告符合 GHG Protocol 或 ISO 14064，提高國際市場競爭力。,沒有驗證計畫,可能影響報告的可信度與未來合規性。,計劃未來導入,目前尚未執行，但計畫在未來採用。,已安排內部審核,由內部稽核團隊執行，但無外部驗證。,由外部驗證機構執行,例如 ISO 14064 認證，確保報告數據的準確性與公信力。,不知道/不確定,可先檢視客戶或政府是否要求驗證，決定是否導入。,是否計畫委託會計師、顧問或平台進行查證？查證內容包含哪些面向？,TRUE,TRUE,若已有驗證計畫，請描述驗證單位、周期與範疇；若尚未，也可說明原因,第三方驗證規劃與策略,建立碳盤查與 ESG 資料第三方查證制度的重要性與執行步驟,"第三方查核, 驗證流程, 碳盤查可信度",
M003,餐飲業,餐廳如何管理碳盤查文件編號？,內部管理與SOP現況,single,beginner,文件編碼管理,評估企業是否已建立碳相關文件的系統編號與歸檔邏輯,標準化文件編號可提升碳管理效率與數據可追溯性。餐飲業可依 年度與分類設定編號，例如 GHG-2024-Kitchen-001（代表 2024 年的廚房碳盤查）。這有助於確保數據整理的一致性，並能減少內部查找困難與數據錯誤，確保審核時能快速獲取所需資訊。,沒有固定編號方式,可能影響數據整理與文件管理效率。,依年度與類別編號,例如 GHG-YYYY-XXX，可快速識別文件類別與年份。,由 IT 或管理部門設定編碼,企業可建立內部文件管理機制，提高檔案存取效率。,依據國際標準制定,例如 GHG Protocol 或 ISO 14064 標準，提高可比較性。,不知道/不確定,可從簡單的編號格式開始，例如「年份-部門-編號」。,是否有制定編號規則？如年度、類別、部門代碼？是否固定命名方式？,TRUE,TRUE,請描述目前碳盤查文件是否有一致的編號方式，或為人工隨機命名？,文件管理規範與識別系統,建立文件識別系統對於盤查紀錄一致性與可追溯性的基礎概念,"編號規則, 文件識別, 管理制度",
M004,餐飲業,餐廳是否建立文件版本控制規範？,內部管理與SOP現況,single,beginner,文件版本控管機制,確認企業是否實施文件版控 SOP，避免誤用舊資料,版本控制確保碳盤查數據的一致性與準確性。餐飲業可採用 V1.0、V2.0 等標記文件版本，或使用雲端系統管理變更紀錄。這有助於避免數據混亂，確保每次審核時使用的都是最新版本，並能符合 ISO 14064 要求。,沒有固定規範,可能導致數據不一致，影響 ESG 盤查的透明度。,由單一部門負責管理,例如環保部門負責，但其他部門可能無法即時更新版本。,內部有文件版控機制,企業內部已建立 SOP，確保數據一致性。,使用數位文件管理系統,透過 ERP、SharePoint、Google Drive 自動追蹤變更歷史。,不知道/不確定,可先檢查現有的文件管理方式，評估是否需要改善。,是否會保留歷史版本？如何標示變動內容與修改者？是否設立變更審批流程？,TRUE,TRUE,請說明目前是否有版本控制機制，是否保留舊檔案與紀錄編輯歷程？,文件版本控制與流程管理,理解文件管理中「變更即須版本管理」的必要性與操作方式,"版本控制, 編輯紀錄, 文件變更流程",
M005,餐飲業,餐廳碳盤查文件的存儲方式為何？,內部管理與SOP現況,single,beginner,資料儲存與存取管理,探討企業是否採用安全、有效率的資料存放機制,數據存儲影響盤查的可追溯性與安全性。小型餐廳可使用 雲端硬碟或 Google Drive，連鎖餐飲可使用 ERP 系統或內部伺服器，確保碳排放數據安全、易於存取，並防止遺失或損毀。例如，企業應建立內部數據存取權限，確保僅授權人員可變更數據，提高 ESG 透明度與企業信譽。,沒有固定存儲位置,可能導致數據遺失或難以追蹤。,以紙本存放於辦公室,可能影響數據安全性與可追溯性，建議數位化管理。,以雲端存儲,例如 Google Drive、Dropbox，確保數據易存取與備份。,內部伺服器存儲,適用於較大型企業，確保數據安全性與合規性。,不知道/不確定,可先從雲端硬碟或 ERP 系統開始管理，逐步建立標準化存儲方式。,是否統一使用雲端、NAS 或資料夾分類儲存？是否定期備份？,TRUE,TRUE,請說明目前碳盤查文件的存放方式、路徑規則與是否有備份機制,文件儲存位置與結構,建立文件儲存的統一規範有助於跨部門檢索與交接,"文件儲存, 資料結構, 雲端或本地備份",
M006,餐飲業,餐廳碳盤查文件的審批流程為何？,內部管理與SOP現況,single,intermediate,數據審批流程管理,確認碳排數據是否具備多層級與制度化的審核機制,明確的審批流程確保碳排放數據的準確性。小型餐廳可由 店長或經營者核對報告，連鎖品牌則應 跨部門審核（環保、財務、營運），並參考 ISO 14064 的標準化審批機制，以確保數據的完整性與合規性。,沒有明確流程,可能導致數據錯誤或未經適當驗證即提交。,由部門主管批准,例如店長或財務部門負責，但可能缺乏跨部門驗證。,需多部門共同審核,例如 ESG 團隊、營運與財務部門共同確認數據。,依 ISO 標準設定審批流程,確保符合國際標準，提高 ESG 透明度與數據可信度。,不知道/不確定,可從現有審批流程開始，確保 ESG 盤查數據符合企業需求。,文件出具後是否需要部門主管或外部顧問簽核？是否有書面確認流程？,TRUE,TRUE,若有報告或計算結果出爐後的審批制度，請簡述流程與角色,文件審批制度與權責歸屬,強化報告出具需經授權流程的制度性思維,"文件審批, 核可機制, 責任歸屬",
M007,餐飲業,餐廳是否有文件存取權限管理？,內部管理與SOP現況,single,intermediate,文件安全性與權限控管,確認資料是否具備分層級授權與存取紀錄制度,設置存取權限可確保碳盤查數據的安全性與完整性。餐飲業可依據不同角色設定存取權限，例如 店長與財務部門可編輯數據，員工僅能檢視，確保 ESG 數據不會被未授權修改。建議使用 ERP 或雲端存取權限控管，確保碳盤查數據符合企業永續發展標準。,無特定權限控管,任何人都可以存取與修改數據，可能導致誤用或數據遺失。,由特定部門管理存取,例如環保或財務部門負責存取權限，但仍可能有風險。,設有多層級權限,例如高層可修改數據，員工僅能檢視，提高數據安全性。,依 ISO 標準管理,企業採用 ISO 14064 規範，確保 ESG 數據的可追蹤性與透明度。,不知道/不確定,可從內部 IT 或文件管理系統開始評估存取權限。,是否設定不同角色的存取權限？是否管控編輯、查看、下載權限？,TRUE,TRUE,請說明目前是否針對碳盤查相關資料設定角色權限，是否有管控誤刪或誤改？,存取權限與角色管理制度,強化 ESG 數據資料權限分層的治理意識,"權限管控, 資料安全, 角色分級",
M008,餐飲業,餐廳碳盤查數據的存檔期限為何？,內部管理與SOP現況,single,intermediate,數據保存政策與法遵依據,了解企業是否依據法規與內規設定保存年限,政府法規與 ESG 需求通常要求保存碳排放數據至少 5 年以上。餐飲業應依據 《氣候變遷因應法》或企業內部規範 確保數據保存，例如 食材碳足跡、能源消耗、廢棄物管理記錄，以利未來審查與優化減排行動。企業可透過 雲端存儲或 ERP 系統 確保長期存檔，提高數據安全性。,無特定存檔期限,可能導致數據遺失或影響 ESG 報告完整性。,依企業內部規範,企業自行決定保存期限，但可能與法規要求不符。,依政府法規（如 5 年）,確保符合環保與 ESG 法規要求，例如 ISO 14064。,長期保存,建立雲端或本地備份，確保歷史數據可供查驗與比較。,不知道/不確定,可從 ESG 法規或競爭對手的報告格式參考存檔標準。,是否有保存期限？如保留 5 年、7 年或依政府法規？是否有定期清理過期檔案？,TRUE,TRUE,請說明碳盤查資料的保存政策，是否訂有保存年限與清理時間表,文件保存年限與規範政策,建立文件保存與刪除政策對永續資料管理的法規與風險控管意識,"保存年限, 法規依循, 清除政策",
