question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
S013,零售業,減排效果的監控方法是什麼？,排放源辨識與確認,single,intermediate,減排績效與成效追蹤,探討企業是否具備追蹤減碳成效的監測機制,減排監控可分為能源使用監測（IoT）、供應鏈碳排追蹤（CDP 平台）、ESG KPI 設定。如每月檢查電費、物流碳排變化，或使用智能能源管理系統（如 Schneider Electric、Siemens）確保即時數據監控。,沒有,企業未設立減排監測機制，可能無法確保碳減排行動的實際成效。,內部簡單追蹤,企業透過 Excel 或基本數據分析追蹤能源使用，但精確度有限。,依部門設定減排KPI,每個部門設立減碳目標，並定期監測其達成情況。,使用專業監測設備與外部審核,透過 IoT 監測能源使用，並由第三方機構審核碳排放數據。,不知道/不確定,若不確定，可先從內部簡單監測開始，再考慮導入專業數據管理系統。,是否有月/季/年排放趨勢？是否設定成效指標？,TRUE,TRUE,可說明如何確認減碳措施是否有效,成效監控與碳管理績效追蹤,確認企業是否能定期追蹤減碳行動成果與持續優化,"KPI追蹤, 排放趨勢, 效益評估",,
S014,零售業,持續改進的檢討機制如何？,排放源辨識與確認,single,intermediate,減碳管理與持續改善,評估企業是否具備減碳策略的持續優化能力,零售業可建立 ESG 年度審查與數據分析機制，如設定 2030 年減排 30%，每季追蹤門市能效、物流減碳進度，並參考 Science-Based Targets (SBTi) 科學減碳目標，確保與國際趨勢同步。,沒有,企業未設立檢討機制，可能無法確保減排行動的持續性與有效性。,每年盤查一次,每年定期檢視碳排放數據，確保企業減排行動與法規合規性。,定期檢討並調整策略,每季或半年審查減排行動，並根據結果調整策略。,建立內部改善機制與數據分析,企業建立 ESG 數據分析機制，確保長期減排行動具備成效。,不知道/不確定,若不確定，可先建立年度盤查機制，再逐步發展更進階的 ESG 改善計畫。,是否每半年或年度檢討一次？是否含多部門參與與回饋？,FALSE,TRUE,若尚未啟動可填「尚未建立」,持續改善與制度化檢討機制,確認 ESG 管理是否有形成定期檢討與跨部門優化制度,"改善機制, ESG滾動檢討, 行動優化",,
D001,零售業,數據收集的頻率和來源是什麼？,數據收集方式與能力,single,beginner,數據收集策略與頻率盤點,建立企業數據收集週期與初步流程之認知,數據收集頻率影響碳管理精準度，如：門市能耗建議每月監測、物流碳排放每季盤查、供應鏈碳足跡則可每年彙整。企業可導入智能電表、ERP 系統，自動化收集數據，提高 ESG 報告的可追溯性。,沒有固定頻率,未建立固定記錄機制，數據可能缺失，影響碳排放盤查的完整性。,每月記錄一次,適用於門市能耗監測，如電力、冷氣使用，確保數據精確性。,每季記錄一次,適用於物流與倉儲能源使用，可觀察長期趨勢變化。,每年記錄一次,適用於供應鏈碳足跡盤查，如商品碳排報告、供應鏈排放監測。,不知道/不確定,若不確定，建議先從門市與物流記錄開始，逐步擴展至供應鏈數據。,是否由門市、倉儲、供應商各自提供？頻率為日、週、月或季？,TRUE,TRUE,可列舉主要來源與記錄方式,數據來源與記錄頻率管理,評估目前 ESG 數據掌握的深度與彈性,"數據來源, 記錄頻率, 門市與供應商資料",,
D002,零售業,公司有無定期保存電力使用紀錄？,數據收集方式與能力,single,beginner,範疇二能源數據紀錄,檢視企業電力使用是否有形成穩定記錄習慣,電力使用紀錄是範疇二碳盤查的基礎，零售業的門市、倉儲、物流中心皆需納入監測。若企業未記錄每月電費、用電量（kWh），將難以計算碳排放。透過能源管理系統（EMS）、智慧電表可確保數據透明度，提高節能管理效率。,沒有,企業未記錄門市、倉儲的用電數據，影響碳排計算準確性。,只有部分部門有記錄,只有部分門市或部門有紀錄，數據可能不完整。,全公司皆有記錄,所有門市、倉儲的用電數據都有記錄，可確保碳排放盤查的完整性。,電力數據已電子化管理,透過 EMS 或智能電表自動收集用電數據，提高管理效率。,不知道/不確定,若不確定，建議從電費帳單開始整理數據，再導入電子化管理。,"是否為每日、每週或每月？, 是否與帳單或系統對接？",FALSE,TRUE,可說明目前保存方式與頻率,用電紀錄與能源數據保存,確認是否具備長期追蹤電力使用數據的能力與紀錄機制,"電力紀錄, 能源管理, 範疇二資料",,
D003,零售業,是否保存燃料使用紀錄？,數據收集方式與能力,single,beginner,範疇一燃料數據紀錄,掌握企業是否保存與使用直接燃料之記錄資料,零售物流（卡車、冷鏈配送）與倉儲的燃料使用屬於範疇一排放，如卡車柴油、發電機燃油。若企業未建立標準記錄方式（如油耗追蹤、物流碳排報告），將影響盤查準確性。應確保燃料發票、加油紀錄之完整性，以提升營運碳管理能力。,沒有,企業未保存燃料使用數據，影響範疇一排放計算準確性。,只保存部分數據,只有部分車輛或倉儲記錄燃料使用數據，無法全面計算碳排。,由財務部保存,企業透過財務部門紀錄油費發票，但未整合成碳排報告。,由環保或能源管理單位保存,企業已建立內部管理機制，統一紀錄所有燃料使用數據。,不知道/不確定,若不確定，可先從加油發票與物流記錄開始收集燃料數據。,是否記錄店內鍋爐、熱水器、備用電源等？,TRUE,TRUE,可列舉有使用燃料的設備類型,燃料數據紀錄與排放依據,探討是否掌握範疇一設備排放來源及其使用紀錄,"燃料使用, 範疇一, 熱源設施",,
D004,零售業,是否保存物流運輸紀錄？,數據收集方式與能力,single,beginner,範疇三物流數據記錄,理解企業是否具備追蹤物流碳排的基礎能力,零售業的物流碳足跡來自於供應鏈配送（範疇三）與自有運輸車輛（範疇一）。盤查時需記錄貨運距離、油耗、電動車使用比例。若供應商未提供碳排數據，應主動要求物流夥伴提供標準報告（如 SBTi 物流報告），確保盤查準確性。,沒有,企業未保存物流碳排數據，影響供應鏈碳盤查完整性。,物流供應商保留部分數據,供應商有提供物流數據，但未涵蓋所有運輸路線與排放。,內部有簡單記錄,企業自行紀錄部分運輸數據，如燃料使用與貨運公里數。,建立完整數據追蹤系統,透過物流管理系統（TMS）或 IoT 記錄所有運輸數據，提高準確性。,不知道/不確定,若不確定，應先確認供應商是否能提供標準碳排報告。,"是否記錄供應商配送或外部物流？, 是否包含里程、車型等資訊？",TRUE,TRUE,可說明是否為內部或外部提供,物流活動數據與合作模式,確認是否能掌握物流產生的碳排資料作為盤查依據,"外部運輸, 範疇三, 物流里程",,
D005,零售業,是否有原料採購的完整記錄？,數據收集方式與能力,single,beginner,採購紀錄與供應鏈追蹤,了解企業是否已建立原料來源與供應鏈碳資料管理,零售業的供應鏈碳排放（範疇三）來自於商品生產、加工與運輸。應建立採購紀錄、供應商碳足跡報告（如 CDP 供應鏈報告），選擇低碳商品、本地採購，降低運輸與生產過程的碳排放。,沒有,企業未保存商品採購數據，難以追蹤供應鏈碳排放。,只記錄主要供應商,企業僅記錄大宗供應商的數據，其他小供應商數據缺失。,由採購部門管理,採購部門負責記錄商品碳排數據，但未進行標準化分析。,已建立數據系統,企業已導入供應鏈管理系統，可自動追蹤採購碳足跡並生成報告。,不知道/不確定,若不確定，可從主要供應商的碳排放數據開始建立記錄機制。,"是否追蹤供應商出貨內容？, 是否有品牌或分類記錄？",TRUE,TRUE,可說明目前是否有明細與分類資料,採購資料與原料來源記錄,評估原料採購是否有足夠完整度可支撐碳足跡或盤查估算,"採購記錄, 原料來源, 範疇三資料",,
D006,零售業,公司是否有廢棄物處理的相關數據？,數據收集方式與能力,single,intermediate,廢棄物數據管理與分類紀錄,評估企業是否有對廢棄物進行分類與數據追蹤,零售業的廢棄物（食品浪費、包裝材料、報廢商品） 會影響碳排放。企業應追蹤回收、堆肥、焚化與掩埋的比例，並考慮減少一次性塑膠、優化產品包裝。例如，UNIQLO、IKEA 已導入循環經濟模式，減少包裝碳排放。,沒有,企業未建立廢棄物處理機制，可能影響 ESG 目標與合規性。,只記錄總量,企業僅統計總廢棄物量，未區分不同類型，可能影響減排策略。,依廢棄物類型記錄,已細分食品、塑膠、包裝等類別，確保減碳計畫的可行性。,已建立完整追蹤系統,透過數據管理系統自動追蹤廢棄物處理，提高可追溯性與透明度。,不知道/不確定,若不確定，應先建立基本記錄，再逐步優化數據管理機制。,是否分類記錄不同來源（門市、倉儲、顧客端）？,TRUE,TRUE,可描述清運方式與定期報表狀況,廢棄物分類與數據管理,辨識是否建立明確廢棄物管理流程與資料化記錄,"廢棄物來源, 清運紀錄, ESG分類數據",,
D007,零售業,數據記錄的標準模板是什麼？,數據收集方式與能力,single,intermediate,碳排資料格式一致性,檢視企業是否已導入統一的數據記錄格式或表單,建立標準化碳盤查模板有助於確保數據可比較性與管理效率。例如 ISO 14064 / GHG Protocol 要求詳細記錄數據來源、計算方式、排放因子，可透過 ERP 系統整合採購、物流、能源使用，以確保報告透明度。,沒有固定格式,企業未統一記錄方式，可能影響數據一致性與準確度。,簡單Excel紀錄,透過手動記錄數據，但易出錯，缺乏自動化與標準化。,ERP系統管理,企業資源規劃系統可整合數據，提高數據管理與計算效率。,參考ISO標準,依據 ISO 14064 記錄數據，確保符合國際碳盤查標準。,不知道/不確定,若不確定，可從 Excel 開始，再考慮導入更標準化的系統。,"是否使用 Excel、ERP 或專屬管理系統？, 是否具標準欄位？",TRUE,TRUE,可說明目前資料收集與輸入格式,數據記錄格式與流程標準,確認是否有可共用的資料結構便於後續分析與報告,"紀錄格式, 表單結構, 資料模板",,
D008,零售業,數據質量控制措施有哪些？,數據收集方式與能力,single,intermediate,數據品質管理與驗證,理解企業如何建立內部控管或外部稽核機制,零售業的碳盤查數據來源廣泛（門市、物流、倉儲），應確保數據品質管理，透過定期數據校驗、歷史趨勢比對，並可透過第三方驗證（如 CDP、SBTi）提高可信度，確保報告準確性。,無特定控制措施,缺乏數據品質管理，可能影響 ESG 報告的可信度。,定期內部審核,企業內部每季度或半年對碳排數據進行審查，以確保準確性。,由第三方驗證,ESG 顧問或認證機構審核數據，提高可信度與合規性。,使用自動監測系統,IoT 或 AI 分析工具自動追蹤碳排數據，確保數據品質與實時監控。,不知道/不確定,若不確定，應先從內部審核開始，逐步建立自動化監測系統。,"是否有比對、複查、錯誤警示機制？, 是否由專人檢查？",TRUE,TRUE,可列出你們常用的控管方法與規範,數據品質控管與誤差處理,評估企業是否對 ESG 資料有可靠性驗證與管理措施,"品質檢查, 錯誤排除, 內部控管",,
D009,零售業,內部審計的頻率與流程如何？,數據收集方式與能力,single,intermediate,數據審查與改進制度,判斷企業是否具備定期稽核碳排資料的制度化流程,"企業應定期檢討碳盤查數據，如每季審查用電、物流、供應鏈排放數據，確保數據符合國際標準（ISO 14064, GHG Protocol），避免因人員流動導致數據失準。",沒有,企業未建立內部審計機制，可能影響數據準確性與追蹤能力。,每年一次,每年盤查碳排放數據，確保年度 ESG 報告完整性。,每半年一次,企業每半年檢討碳數據，調整減排行動，提高管理精準度。,持續監控,透過 IoT 或能源管理系統，實時監測數據，並自動更新盤查結果。,不知道/不確定,若不確定，建議從年度盤查開始，再逐步提高監測頻率。,"是否每季、每半年或年度？, 是否含報表與追蹤修正流程？",FALSE,TRUE,可描述目前審查流程與人員分工,ESG 內部查核與資料審計,確認企業是否定期檢查 ESG 數據並回饋至制度優化,"審計制度, 稽核週期, ESG稽核",,
D010,零售業,使用的技術工具或軟體是什麼？,數據收集方式與能力,single,beginner,碳數據技術工具應用,探討企業是否採用適當工具進行數據整合與管理,零售業需管理多種數據來源，如銷售、物流、能源消耗等。選擇合適的工具可提高數據準確性，提升管理效率。,Excel,以試算表手動記錄數據，適用小型企業，但容易出錯，且難以確保數據一致性。,ERP系統,企業資源規劃系統可自動整合物流、能源等數據，提高數據管理效率。,自動數據管理平台,可自動記錄並分析碳數據，適用中大型企業，有助於報告標準化。,AI智能分析工具,可預測碳排趨勢，並提供最佳減排行動方案，提高管理精準度。,不知道/不確定,若不確定，可從 Excel 開始，視業務需求再導入自動化系統。,是否為 Excel、雲端表單、ERP、IoT 或其他系統？,TRUE,TRUE,可列舉目前在用的主要工具或平台,ESG 數據技術應用與工具,探討企業是否已導入數位工具支援 ESG 資料收集與管理,"ESG工具, 數據系統, 管理平台",,
D011,零售業,公司是否使用電子化方式記錄碳排數據？,數據收集方式與能力,single,beginner,電子化數據管理現況,評估企業是否已導入碳排數據的電子化流程與工具,電子化記錄可提升數據的可追蹤性與透明度，減少人為錯誤，並確保碳數據符合 ESG 報告要求。,沒有,仍使用紙本記錄，管理不易，數據遺失風險較高，影響碳盤查準確性。,部分電子化,透過簡單的電子表格記錄，但仍需手動輸入，數據可能不夠標準化。,完全電子化,使用 ERP 或雲端系統管理數據，提高記錄效率與透明度。,-,-,不知道/不確定,可先從 Excel 記錄開始，再評估導入更進階的數據管理系統。,"是否為自建系統、自動記錄或手動輸入？, 是否與業務報表整合？",FALSE,TRUE,若未使用電子化系統可填「否」,數據電子化與平台紀錄方式,確認碳資料是否已電子化，有利減少錯誤與強化可追蹤性,"電子記錄, 數位管理, ESG數據",,
D012,零售業,是否有固定的紀錄頻率與負責人員？,數據收集方式與能力,single,intermediate,責任制度與紀錄頻率,確認企業是否有制度化指定人員並執行定期紀錄,定期記錄碳排放數據能確保長期趨勢分析的準確性，並利於後續報告與改善計畫的執行。,沒有,無固定紀錄頻率，數據可能不完整，影響盤查準確性與合規性。,由部門自行決定,各部門根據需求決定紀錄頻率，但缺乏統一標準，可能影響一致性。,已指定專責團隊,企業內有固定負責人員，每月或每季統整數據，提高碳盤查效率。,-,-,不知道/不確定,若不確定，建議指派部門負責人先行建立數據管理機制。,"是否每日、每週或每月？, 是否指定專責記錄與複查人員？",TRUE,TRUE,可說明目前記錄排程與責任機制,ESG 紀錄頻率與責任制度,評估是否建立穩定記錄制度與對應負責人員,"紀錄週期, 確責制度, ESG制度管理",,
D013,零售業,數據管理的最佳實踐是什麼？,數據收集方式與能力,single,intermediate,碳數據管理與風險控管,探討企業是否具備碳數據備份、錯誤追蹤等管理機制,良好的數據管理確保碳盤查準確性與透明度，並能減少未來 ESG 審核的合規風險。,無特定措施,缺乏標準管理，數據易遺失或錯誤，影響 ESG 報告完整度。,定期備份,每月或每季進行數據備份，確保歷史數據可追溯，避免遺失。,內部數據稽核,定期審查碳數據，以確保記錄準確性，並符合報告標準。,參考國際標準,遵循 ISO 14064 / GHG Protocol，確保數據合規性。,不知道/不確定,若不確定，可先建立定期備份機制，再逐步導入標準化管理。,是否有 SOP、工具套件、流程圖、教學制度等？,TRUE,TRUE,可列出內部認為有效的制度化作法,數據管理制度與成熟實踐,協助企業歸納現行成熟制度，利於複製、訓練與優化,"管理經驗, 範本流程, ESG內部最佳實踐",,
D014,零售業,系統備份與安全性措施如何？,數據收集方式與能力,single,beginner,碳資料備份與安全性管理,了解企業是否已建立碳排資料的備份與安全制度,碳排放數據是企業 ESG 報告的重要依據，應確保數據安全性，以免影響後續審核或外部報告。,無備份措施,可能導致數據遺失或無法復原，影響未來 ESG 合規性。,定期備份,每月備份數據，以確保數據完整性，避免系統故障造成遺失。,設有災難復原計劃,企業建立數據備援機制，確保意外狀況下仍能恢復數據。,-,-,不知道/不確定,可先建立簡單備份機制，再評估是否需要更完整的數據復原計畫。,是否有定期備份機制？是否有權限管理與存取管制？,FALSE,TRUE,可說明是否已納入資訊安全流程,資料備援與系統安全措施,確認 ESG 相關資料是否具備資安與災備機制,"備份政策, 權限管理, ESG資安",,
D015,零售業,公司內是否已有書面的碳排資料收集 SOP？,數據收集方式與能力,single,intermediate,碳數據收集制度化,檢視企業是否已具備標準化的資料收集流程,標準作業程序（SOP）確保碳數據收集一致性，完整 SOP 應包含數據來源、記錄方式、責任人員與審核機制，確保碳盤查可長期追蹤，並符合 ISO 14064、SBTi 等國際規範。,沒有,企業未建立標準碳排 SOP，數據記錄方式可能不一致。,只有部分流程記錄,部分部門有記錄碳排放數據，但未涵蓋所有營運環節。,已建立完整 SOP,企業已制定標準化作業程序，確保數據一致性與可追溯性。,-,-,不知道/不確定,若不確定，建議先建立基本 SOP，再逐步優化管理機制。,是否有書面流程圖、內部標準表單或文件說明？,TRUE,TRUE,若有請列舉 SOP 名稱或應用情境,ESG 資料收集作業流程化,評估是否已制度化碳資料收集過程，利於培訓與一致性執行,"資料SOP, 表單制度, ESG標準流程",,
D016,零售業,是否已有內部定期進行碳排資料審核的程序？,數據收集方式與能力,single,intermediate,數據審查與內部稽核,評估企業是否建立碳排放數據的定期審查與比對機制,"內部碳盤查審核可確保零售業的碳排放數據準確，防止計算錯誤。建議每半年或每年稽核一次，對門市、倉儲、物流數據進行檢查，確保符合 ISO 14064, CDP, GHG Protocol 等國際標準。",沒有,企業未進行內部審核，可能影響 ESG 報告的準確性。,每年審核一次,每年定期檢查數據完整性與碳排放趨勢變化。,每半年審核一次,半年一次審核，有助於及時發現數據異常，確保減排行動落實。,持續監控與內部稽核,透過 IoT 或能源管理系統，實時監測碳排放數據，提高管理效率。,不知道/不確定,若不確定，建議從年度審核開始，再逐步增加審查頻率。,是否每月或每季審核？是否含部門回報與資料修正？,FALSE,TRUE,若尚未開始可填「尚未建立」,ESG 資料審核與查核制度,確認是否具備內部審核資料品質的基本制度,"資料審核, 資料回報機制, ESG數據檢查",,
M001,零售業,盤查報告的格式和內容是什麼？,內部管理與SOP現況,single,beginner,報告格式與參考標準,確認企業是否依據標準規範設計碳盤查報告格式,零售業的碳盤查報告應明確說明排放範圍、計算方法及數據來源，可參考 ISO 14064、GRI、SBTi 框架。建議報告涵蓋門市能源使用、物流運輸碳排、供應鏈影響，確保報告的可信度與可比較性。,沒有特定格式,企業未確定報告格式，可能影響 ESG 透明度與合規性。,參考政府或產業標準,依據政府法規或產業報告，如 CDP 或國際 ESG 標準。,依據ISO 14064準則,使用 ISO 14064 碳盤查標準，確保國際可比性。,依據外部顧問建議,透過專業顧問輔導撰寫 ESG 報告，確保完整性與準確度。,不知道/不確定,若不確定，建議參考政府指引或 ESG 產業標準進行報告撰寫。,是否包含基本資訊、排放範疇、計算方法與趨勢圖表？,TRUE,TRUE,可描述目前格式是否統一或由集團提供,ESG 報告格式與內容標準,建立報告可用性與結構一致性意識，利於外部比較與揭露,"報告格式, 資料項目, ESG報告內容",,
M002,零售業,第三方驗證的計劃如何？,內部管理與SOP現況,single,intermediate,碳盤查報告驗證與信度,了解企業對報告真實性與可信度的審查計畫,第三方驗證可提升零售業碳盤查的可信度，例如 ISO 14064 要求外部機構驗證碳排放數據，確保其真實性與透明度。零售品牌若計劃參與 ESG 評級、供應鏈碳管理（如 Walmart、Amazon 要求供應鏈減碳），應考慮導入第三方驗證。,沒有驗證計畫,企業未考慮外部驗證，可能影響 ESG 可信度與國際認證。,計劃未來導入,企業已有初步計畫，將在未來導入第三方驗證機制。,已安排內部審核,企業內部定期檢討碳排放數據，但未經外部審核。,由外部驗證機構執行,透過專業機構（如 SGS、DNV）驗證數據，提高 ESG 評級可信度。,不知道/不確定,若不確定，可先從內部審查開始，再評估是否導入外部驗證。,是否已有對接單位或簽約顧問？是否規劃驗證時程與對象？,FALSE,TRUE,可填目前規劃時程或需求說明,第三方驗證計畫與合作方式,評估是否已啟動或評估驗證制度，以強化 ESG 報告可信度,"驗證計畫, 外部審查, ESG信賴度",,
M003,零售業,文件編號系統是什麼？,內部管理與SOP現況,single,beginner,文件編碼管理,評估企業是否已建立碳相關文件的系統編號與歸檔邏輯,標準化文件編號可確保零售業碳盤查數據管理的一致性，建議使用如 GHG-2024-Store-001（代表 2024 年門市碳排放數據）的格式，以利內部查詢與歷史數據追蹤。,沒有固定編號方式,企業未制定標準文件編號，可能影響數據檔案的管理與追蹤。,依照年度與類別編號（如GHG-YYYY-XXX）,以年度與類別為基礎編號，如 GHG-2024-Warehouse-002，便於查詢與對比。,由IT或管理部門設定編碼,企業由 IT 部門統一管理文件編號，提高數據的可追溯性與一致性。,依據國際標準制定,企業遵循 ISO 14064 或 CDP 指引，確保數據標準化與合規性。,不知道/不確定,若不確定，建議先採用簡單的年度與類別編號方式，再逐步標準化。,是否有版本控制、編號規則或存檔規格？,TRUE,TRUE,可舉例文件代碼範例或管理邏輯,文件編號與存檔管理制度,建立 ESG 文件管理的標準化與可追溯性,"文件控制, 編碼規則, ESG紀錄體系",,
M004,零售業,文件版本控制規範如何？,內部管理與SOP現況,single,beginner,文件版本控管機制,確認企業是否實施文件版控 SOP，避免誤用舊資料,零售業碳數據需長期追蹤，應建立版本控制機制，如 V1.0（初版）、V2.0（修訂版），或使用 ESG SaaS 平台、自動雲端儲存確保文件更新不混淆。,沒有固定規範,企業未制定文件版本管理規範，可能導致數據更新混亂。,由單一部門負責管理,由 ESG 或財務部門負責版本控制，但可能影響其他部門存取與更新效率。,內部有文件版控機制,企業已建立版本控制，如 V1.0、V2.0，確保文件變更有紀錄。,使用數位文件管理系統,透過 ERP 或 ESG SaaS 平台自動管理文件版本，提高透明度與安全性。,不知道/不確定,若不確定，建議先建立基本的文件版本標示，如 V1.0、V2.0，再逐步提升管理機制。,"是否含版本編號、修訂記錄？, 是否有文件更新通知機制？",TRUE,TRUE,可說明目前版本控管與更新頻率,文件版本控制與紀錄機制,確認 ESG 文件是否具備一致的版本管理與修訂流程,"文件版本, 修訂紀錄, ESG控管制度",,
M005,零售業,文件存儲位置是什麼？,內部管理與SOP現況,single,beginner,資料儲存與存取管理,探討企業是否採用安全、有效率的資料存放機制,"零售業碳數據管理應電子化，建議使用雲端存儲（Google Drive, AWS, Azure）或內部伺服器，確保數據安全與 ESG 報告數據可追溯性。",沒有固定存儲位置,文件存儲分散，可能導致數據遺失或無法追溯歷史變更。,以紙本存放於辦公室,文件以紙本管理，存取不易，且有遺失風險，影響 ESG 盤查效率。,以雲端存儲,企業採用 Google Drive、AWS、Azure 等雲端存儲，提高數據可追溯性。,內部伺服器存儲,企業使用內部伺服器存儲碳盤查文件，確保資料安全與長期保存。,不知道/不確定,若不確定，建議先從雲端存儲開始，確保 ESG 文件的可存取性與安全性。,是否儲存在雲端、伺服器、內部資料夾或紙本？,FALSE,TRUE,可列出主要保存路徑與備份方式,文件儲存方式與資料可得性,評估企業 ESG 文件是否集中管理並具可追溯性,"儲存位置, 雲端備援, ESG文檔管理",,
M006,零售業,文件審批流程如何？,內部管理與SOP現況,single,intermediate,數據審批流程管理,確認碳排數據是否具備多層級與制度化的審核機制,零售業碳盤查數據應建立審批流程，例如 門市/倉儲能耗數據 → ESG 團隊審核 → 內部稽核/財務部審查 → 最終提交。若企業有供應鏈減排計畫，應納入供應鏈監管機制，確保減碳數據符合 ESG 承諾與法規。,沒有明確流程,企業未建立數據審批機制，可能影響 ESG 報告的準確性與可信度。,由部門主管批准,部門主管審批，但可能缺乏跨部門協作與審查機制。,需多部門共同審核,ESG、財務、供應鏈團隊協作審核，提高數據完整性與合規性。,依ISO標準設定審批流程,企業依據 ISO 14064 或 ESG 法規制定審批機制，確保數據透明度與標準化。,不知道/不確定,若不確定，可先由 ESG 團隊制定基本的內部審批流程，再逐步優化。,"是否有部門簽核、主管審批流程？, 是否留有審批紀錄？",FALSE,TRUE,可說明是否需經過多級審批與流程圖,文件審批流程與文件合法性,建立 ESG 文件流轉的程序性與法規遵循意識,"文件審核, 簽核流程, ESG制度運行",,
M007,零售業,文件存取權限管理如何？,內部管理與SOP現況,single,intermediate,文件安全性與權限控管,確認資料是否具備分層級授權與存取紀錄制度,存取權限管理可確保碳數據安全，避免未授權變更。例如，零售業可設定 ESG/碳盤查數據僅 ESG 團隊、財務部、內部審計人員可編輯，門市主管可檢視，確保數據完整性與安全性。,無特定權限控管,任何人皆可存取 ESG 數據，可能導致未授權變更或數據遺失風險。,由特定部門管理存取,ESG 或財務部門負責數據存取權限，可能影響其他部門的查閱需求。,設有多層級權限,設定不同權限級別，確保 ESG、財務、內審等部門可管理數據，但其他部門僅能檢視。,依ISO標準管理,企業遵循 ISO 27001 資安標準，確保 ESG 數據安全存取與授權管理。,不知道/不確定,若不確定，應先建立基本存取權限，如 ESG 團隊負責編輯，其他部門僅能檢視。,"是否僅特定人員可存取與修改？, 是否有權限分層與紀錄？",FALSE,TRUE,可說明目前權限分配與控管方式,存取權限控管與資安機制,確認 ESG 文件是否防止未授權變更，強化資訊保護性,"存取權限, 使用紀錄, ESG資安制度",,
M008,零售業,數據和報告的存檔期限是什麼？,內部管理與SOP現況,single,intermediate,數據保存政策與法遵依據,了解企業是否依據法規與內規設定保存年限,根據法規與 ESG 需求，企業應至少保存碳排放數據 5 年以上。例如，《氣候變遷因應法》或 SBTi、CDP 規範要求企業保存歷史數據，以進行長期碳減排目標追蹤與合規報告。,無特定存檔期限,企業未設立存檔期限，數據可能無法長期保存或追蹤。,依企業內部規範,根據內部政策設置存檔期限，可能不符合法規要求。,依政府法規（如5年）,根據《氣候變遷因應法》等法規要求保存數據 5 年，確保合規性。,長期保存,企業可長期保存碳排放數據，便於追蹤減碳目標達成情況。,不知道/不確定,若不確定，建議先根據法規設置最少 5 年的存檔期限。,"是否與財務、稅務或公司政策一致？, 是否設定年限與類型分類？",TRUE,TRUE,可列出常見的保留期間（如5年、7年）,檔案保留政策與報告週期設定,評估 ESG 報告與數據存續期間與報告週期的一致性與制度成熟度,"保留年限, 法規要求, ESG文件政策",,
M009,零售業,文件管理案例分享有哪些？,內部管理與SOP現況,single,beginner,文件管理制度參考來源,探討企業在建立制度時是否借鏡國際或業界實務,"零售業 ESG 企業（如 Walmart, IKEA）已導入碳盤查管理系統，整合 ERP/ESG SaaS 確保數據準確性。例如，某零售商使用 ERP + IoT 監控門市/倉儲用電，提高碳排放監測效率。",沒有相關案例,企業未有相關案例，可能缺乏數據管理最佳實踐。,已參考同業最佳做法,企業參考其他零售業者（如 Walmart）的最佳實踐，提升碳盤查效率。,建立內部標準並分享,企業自行制定標準，並與內部分享，確保一致性與透明度。,使用國際標準作為參考,企業根據 ISO 14064、GRI 等國際標準進行碳盤查管理。,不知道/不確定,若不確定，建議參考已實踐的零售業最佳案例或國際標準。,是否參考業界、集團或第三方顧問的做法？是否含文件分類與權限？,TRUE,TRUE,可說明學習對象與借鏡方式,文件制度對標與經驗分享,確認企業是否有制度參照基礎，可作為改善依據,"文件案例, 管理經驗, ESG對標",,
M010,零售業,是否需要協助建立或改進內部管理制度？,內部管理與SOP現況,single,intermediate,碳管理制度建構建議,評估企業對制度化碳管理的認知與需求程度,企業若無完整 ESG/碳管理制度，可參考 ISO 14064、GRI、SBTi 建立標準 SOP，或尋求外部顧問協助，確保盤查符合法規與市場標準，提高數據透明度。,不需要,企業已擁有內部管理制度，無需額外協助。,需要內部改善指導,企業需要內部指導來改善數據收集和管理流程。,需要外部顧問協助,企業尚未建立完善管理制度，應考慮尋求外部顧問協助。,已建立完善制度但需持續優化,企業已建立有效管理制度，但仍需定期優化以保持合規性與效率。,不知道/不確定,若不確定，建議從基本管理制度開始，逐步改善並引入專業顧問。,是否需協助建構 SOP、權責流程、表單模板等？,FALSE,TRUE,可說明目前主要困難或預期目標,ESG 管理制度輔導需求,評估企業是否有制度導入需求，利於後續顧問或平台輔助,"制度建構, 權責設計, ESG導入建議",,
